stage,seconds,detail
extract_submission_text,0.1,"scoring_words=2770, structure_words=2774"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.01,segmented_parts=4
refine_submission_granularity,0.01,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,25.69,1/14 Part 1 Q1
part_analysis_model,25.77,2/14 Part 1 Q2
part_analysis_model,25.96,3/14 Part 1 Q3
part_analysis_model,22.89,4/14 Part 2 Q1
part_analysis_model,24.11,5/14 Part 2 Q2
part_analysis_model,27.53,6/14 Part 2 Q3
part_analysis_model,23.34,7/14 Part 2 Q4
part_analysis_model,27.56,8/14 Part 2 Q5
part_analysis_model,28.13,9/14 Part 2 Q6
part_analysis_model,27.9,10/14 Part 3 Q1
part_analysis_model,44.22,11/14 Part 3 Q2
part_analysis_model,34.78,12/14 Part 3 Q3
part_analysis_model,24.74,13/14 Part 3 Q4
part_analysis_model,27.13,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:75.00; part 3=wide_score_spread:26.67
build_local_final_result,0.0,
