stage,seconds,detail
extract_submission_text,0.07,"scoring_words=2322, structure_words=2312"
detect_submission_parts,0.01,"mode=context_fast_path, detected_parts=4"
segment_submission_parts,0.0,segmented_parts=4
refine_submission_granularity,0.01,refined_parts=14
apply_assessment_artifact,0.0,variant=cached_map_only
build_submission_diagnostics,0.0,detected_part_count=14
part_analysis_model,25.07,1/14 Part 1 Q1
part_analysis_model,31.22,2/14 Part 1 Q2
part_analysis_model,30.04,3/14 Part 1 Q3
part_analysis_model,27.35,4/14 Part 2 Q1
part_analysis_model,35.06,5/14 Part 2 Q2
part_analysis_model,29.1,6/14 Part 2 Q3
part_analysis_model,24.41,7/14 Part 2 Q4
part_analysis_model,25.87,8/14 Part 2 Q5
part_analysis_model,35.42,9/14 Part 2 Q6
part_analysis_model,27.06,10/14 Part 3 Q1
part_analysis_model,36.39,11/14 Part 3 Q2
part_analysis_model,24.59,12/14 Part 3 Q3
part_analysis_model,23.6,13/14 Part 3 Q4
part_analysis_model,25.88,14/14 Part 4
moderate_linked_part_analyses,0.0,part 2=wide_score_spread:40.00; part 3=wide_score_spread:33.34
build_local_final_result,0.0,
